"","sp","si","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"241","Dendrocolaptes sanctithomae","CANO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,2,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0
"242","Dendrocolaptes sanctithomae","CCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,6,5,1,2,0,0,0,0,0,0,0,0,0,0,0
"243","Dendrocolaptes sanctithomae","LIMBO",5,6,0,0,4,1,2,2,2,1,1,0,0,1,1,0,5,0,1,1,0,0,1,0,2,1,3,0,4,1,1,0,2,3,1,2,0,1,0,2,1,0,1,3,3,0
"244","Dendrocolaptes sanctithomae","PARQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0
"245","Dendrocolaptes sanctithomae","TORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"246","Dendroma rufa","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"247","Dendroplex picus","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,1,0,2,1,2,1,4,4,0,1,0,0,0
"248","Dichrozona cincta","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"249","Dichrozona cincta","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"250","Dichrozona cincta","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"251","Donacobius atricapilla","PARQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"252","Donacobius atricapilla","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,1,1,0,0,0,0,0,0
"253","Dromococcyx phasianellus","LIMBO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"254","Dromococcyx phasianellus","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"255","Dryobates affinis","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"256","Dryobates passerinus","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,3,2,0,0,0,0,0
"257","Dryocopus lineatus","CCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"258","Dysithamnus puncticeps","LIMBO",0,2,1,2,4,3,1,0,0,0,0,0,0,0,1,3,1,3,0,1,0,0,2,0,3,2,2,3,1,2,0,3,1,2,1,0,3,3,1,1,0,1,0,0,4,0
"259","Dysithamnus striaticeps","CANO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"260","Elaenia flavogaster","AERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"261","Elaenia flavogaster","CCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,8,2,2,0,0,0,0,5,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"262","Elaenia flavogaster","PARQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"263","Elaenia parvirostris","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"264","Elaenia strepera","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"265","Elaenia strepera","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"266","Electron platyrhynchum","LIMBO",0,1,0,0,1,0,1,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,2,1,0,0,3,0,1,1,0,0
"267","Empidonax alnorum","LIMBO",0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"268","Empidonax alnorum","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
"269","Empidonax flaviventris","LIMBO",0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"270","Empidonax fulvifrons","AERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"271","Empidonax fulvifrons","CCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,1,3,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"272","Empidonax fulvifrons","PARQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"273","Empidonax virescens","LIMBO",2,0,1,0,6,2,3,3,1,4,1,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
"274","Epinecrophylla erythrura","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,3,6,5,2,4,7,1,2,1,3,5,1,3,0,0,2,0,0,2,1
"275","Epinecrophylla erythrura","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,4,1,1,3,6,4,4,2,0,2,0,0,0,0,1,0,0,0,0,0
"276","Epinecrophylla fulviventris","CANO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,6,3,0,0,0,0,0,0,0,0,0,0,0
"277","Epinecrophylla fulviventris","LIMBO",11,12,8,15,23,11,5,6,6,13,5,6,0,4,5,8,4,11,8,7,6,7,6,6,4,7,8,8,7,6,6,6,12,12,10,8,13,10,11,6,6,5,10,6,9,0
"278","Epinecrophylla fulviventris","PARQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"279","Epinecrophylla gutturalis","BDFFP",0,0,0,0,0,0,7,11,14,4,4,0,6,12,1,0,0,0,0,0,0,2,6,0,0,0,0,0,0,29,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"280","Epinecrophylla haematonota","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,7,6,10,4,9,7,6,3,7,4,6,4,1,1,0,0,0,0,0,0,0
"281","Epinecrophylla haematonota","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,6,9,2,9,4,9,2,3,6,4,1,6,2,3,2,3,1,0,0,1,0
"282","Epinecrophylla ornata","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"283","Eubucco richardsoni","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0
"284","Eucometis penicillata","LIMBO",9,7,4,2,5,1,1,8,0,2,0,0,0,2,0,0,2,6,2,0,2,6,4,2,4,3,5,2,2,1,2,2,6,7,3,2,8,4,7,3,3,1,4,8,15,0
"285","Eucometis penicillata","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"286","Eucometis penicillata","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,2,0,2,0,3,1,4,7,8,4,1,1,0,0,0,0
"287","Euphonia chlorotica","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"288","Euphonia chrysogaster","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"289","Euphonia chrysopasta","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0
"290","Euphonia fulvicrissa","LIMBO",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"291","Euphonia gouldi","AERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"292","Euphonia gouldi","CANO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,0,6,0,0,0,0,2,2,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0
"293","Euphonia gouldi","CCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"294","Euphonia gouldi","PARQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"295","Euphonia gouldi","TORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,3,0,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0
"296","Euphonia laniirostris","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
"297","Euphonia minuta","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"298","Euphonia rufiventris","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"299","Euphonia xanthogaster","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
"300","Euphonia xanthogaster","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,3,4,0,2,3,3,2,0,0,1,2,0,0,0,0,0,1
"301","Euphonia xanthogaster","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0
"302","Eutoxeres aquila","LIMBO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"303","Florisuga mellivora","LIMBO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"304","Formicarius analis","BDFFP",0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"305","Formicarius analis","CANO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"306","Formicarius analis","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"307","Formicarius analis","LIMBO",7,5,9,8,6,7,9,10,8,11,4,2,0,3,6,5,5,4,4,1,8,6,9,5,2,4,3,5,6,6,3,3,8,7,4,7,3,3,4,2,5,0,6,2,5,0
"308","Formicarius analis","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,8,4,2,2,3,1,2,1,3,1,0,0,0,2,0,1,0,0,0,0,0,1
"309","Formicarius analis","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,7,0,2,6,15,3,10,4,10,21,12,4,4,4,0,0
"310","Formicarius colma","BDFFP",0,0,0,0,0,0,6,15,26,4,4,0,3,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,12,0,4,9,2,0,0,0,0,0,0,0,0,0,0,0,0
"311","Formicarius colma","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,2,5,3,2,3,6,0,2,1,0,2,2,0,2,0,0,0,0,0,0,0
"312","Formicarius colma","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,9,4,5,1,5,4,1,4,1,0,1,4,1,0,1,0,0,0,0,0,2
"313","Formicarius colma","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"314","Formicivora rufa","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"315","Frederickena unduliger","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
"316","Frederickena unduliger","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"317","Frederickena viridis","BDFFP",0,0,0,0,0,0,4,1,4,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"318","Furnarius leucopus","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,2,3,0,0,2,0,0
"319","Galbula albirostris","BDFFP",0,0,0,0,0,0,7,0,14,3,4,0,2,2,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"320","Galbula albirostris","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,2,1,1,1,4,0,3,3,1,0,0,0,3,1,1,0,0,0,0,0
"321","Galbula albirostris","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,5,0,0,3,6,1,1,0,3,1,0,0,0,0,0,0,0,0,0
"322","Galbula chalcothorax","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"323","Galbula cyanescens","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,4,6,6,11,10,15,14,12,6,3,1,0,0
"324","Geothlypis aequinoctialis","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
"325","Geothlypis formosa","LIMBO",7,7,4,8,10,5,8,8,2,5,2,3,0,0,0,2,2,0,1,1,0,1,3,0,2,1,2,0,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"326","Geothlypis poliocephala","CCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"327","Geothlypis semiflava","CCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"328","Geothlypis semiflava","PARQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"329","Geothlypis semiflava","TORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"330","Geotrygon montana","BDFFP",0,0,0,0,0,0,7,42,8,3,2,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"331","Geotrygon montana","CANO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"332","Geotrygon montana","CCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"333","Geotrygon montana","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,4,5,10,6,12,11,9,8,0,0,0,5,2,7,0,6,3,2,0,1,1,2
"334","Geotrygon montana","LIMBO",11,4,6,3,18,12,18,23,9,12,12,2,0,7,6,6,6,5,4,6,7,2,8,7,8,9,10,16,10,17,5,8,9,8,12,4,3,5,7,1,3,4,12,14,14,0
"335","Geotrygon montana","PARQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"336","Geotrygon montana","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,4,10,2,7,4,5,4,0,0,0,1,1,0,1,5,3,1,0,0,2,0
"337","Geotrygon montana","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,1,5,0,1,3,0,0,0,0
"338","Geotrygon montana","TORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"339","Geotrygon saphirina","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"340","Geotrygon saphirina","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"341","Geotrygon violacea","LIMBO",1,1,1,0,11,2,1,1,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"342","Glaucis hirsutus","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"343","Glaucis hirsutus","LIMBO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"344","Glaucis hirsutus","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"345","Glaucis hirsutus","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"346","Glyphorynchus spirurus","BDFFP",0,0,0,0,0,0,33,66,119,21,7,0,19,41,0,0,0,0,0,0,0,19,9,0,0,0,0,0,0,52,0,12,14,14,0,0,0,0,0,0,0,0,0,0,0,0
"347","Glyphorynchus spirurus","CANO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,2,5,1,2,0,0,0,0,5,7,0,2,5,11,4,0,0,1,0,0,0,0,0,0,0,0
"348","Glyphorynchus spirurus","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,69,56,77,72,64,70,67,64,62,69,49,25,36,32,16,12,17,12,6,0,8,14,14
"349","Glyphorynchus spirurus","LIMBO",5,6,4,3,7,2,6,5,3,4,0,3,0,1,4,2,2,2,2,1,3,4,2,3,3,3,7,2,2,5,0,6,5,2,6,4,4,3,3,0,3,6,1,1,1,0
"350","Glyphorynchus spirurus","PARQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351","Glyphorynchus spirurus","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,61,61,77,76,65,57,78,85,63,66,56,32,27,18,14,12,20,16,11,0,9,17,9
"352","Glyphorynchus spirurus","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,1,2,2,0,0,0,0,0
"353","Glyphorynchus spirurus","TORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,5,1,3,3,0,0,1,0,0,0,0,0,0,0,0
"354","Grallaria varia","BDFFP",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"355","Gymnopithys bicolor","CANO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,4,5,5,6,2,0,0,0,0,5,8,0,6,5,14,1,0,0,0,0,0,0,0,0,0,0,0
"356","Gymnopithys bicolor","LIMBO",39,42,30,32,54,30,15,39,14,20,6,6,0,25,15,12,20,31,9,14,16,30,17,26,24,18,21,25,34,29,6,20,26,27,11,26,26,27,8,30,13,7,25,38,37,0
"357","Gymnopithys bicolor","PARQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,0,5,3,5,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"358","Gymnopithys leucaspis","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,10,11,7,6,3,11,11,5,6,9,3,5,2,4,1,4,1,3,0,2,4,3
"359","Gymnopithys leucaspis","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,10,8,5,12,3,12,6,8,4,3,4,3,6,1,3,1,1,1,0,0,0,1
"360","Gymnopithys lunulata","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"361","Gymnopithys lunulata","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
"362","Gymnopithys rufigula","BDFFP",0,0,0,0,0,0,8,14,42,5,3,0,20,19,1,0,0,0,0,0,0,23,3,0,0,0,0,0,0,33,0,5,13,7,0,0,0,0,0,0,0,0,0,0,0,0
"363","Habia fuscicauda","CANO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"364","Habia fuscicauda","CCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"365","Habia fuscicauda","LIMBO",3,1,3,2,3,0,2,0,0,0,0,0,0,2,4,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
